location,site_name,latitude,longitude,survey_id,block,size_class,total,number
Batemans,Acron Ledge,-35.7203,150.24788999999998,812331182.5,1,0,35.75,0.715
Batemans,Aragunnu Southern Bay,-36.58472,150.05333000000002,912345043.5,1.5,0,160,3.2
Batemans,Barren Bommie,-36.13559,150.12916,912347104.3333334,1.5,0,131.5,2.6300000000000003
Batemans,Belowla Island South West,-35.55425,150.38896,812331242.5,1,0,176,3.52
Batemans,Bingi Bingi Point,-36.01291,150.16603,912348425.3,1.25,6.875,8,0.16
Batemans,Bingi Bingi Point Nth,-36.01152,150.16517,912353838.5,1,11.25,1.5,0.03
Batemans,Bogola North,-36.26173,150.15152,912353822.5,1,29.375,119.75,2.395
Batemans,Broulee Headland East,-35.862,150.18527,912344018.5,1.5,0,137.25,2.745
Batemans,Broulee Is South,-35.86214,150.18729,812331362.5,1,0,126.75,2.535
Batemans,Broulee Island,-35.86079,150.18594,812331372.5,1,0,54.75,1.095
Batemans,Broulee North,-35.85507,150.19207,879006459.1666666,1.3333333333333333,0,249.16666666666666,4.983333333333333
Batemans,Brush Island East,-35.530187,150.424206,912353858.5,1,10,518.25,10.365
Batemans,Brush Island Mid North,-35.52617,150.41713,812331152.5,1,0,185.75,3.715
Batemans,Brush Island Mid South,-35.53148,150.41545,812331232,1,0,227,4.54
Batemans,Brush Island South,-35.53337,150.41589,812331162.3333334,1,0,65.33333333333333,1.3066666666666666
Batemans,Brush Island South West,-35.53292,150.41296,812331222.5,1,0,49.5,0.99
Batemans,Burrewarra Point,-35.83132,150.23346999999998,812331352.5,1,0,107.5,2.15
Batemans,Burrewarra Point NW,-35.83002,150.2319,912344366.3333334,1.5,0,243.08333333333334,4.861666666666666
Batemans,Burrewarra Pt S,-35.83455,150.22347,912353862.5,1,15,89,1.78
Batemans,Caulerpa Reef,-35.74794,150.26006,912344018,1.5,0,84,1.68
Batemans,Clear Point (Old Snapper Point),-35.59893,150.34278999999998,812331212.5,1,0,108.5,2.17
Batemans,Dalmeny point N of ramp,-36.16112,150.13343,912353834.5,1,16.25,28.75,0.575
Batemans,Dalmeny point S of ramp off Joshs Beach,-36.16932,150.13612,912353810.5,1,23.125,213.75,4.2749999999999995
