survey_id,location,site_code,site_name,latitude,longitude,survey_year,taxon,survey_mean,RLS_category,survey_date,number
812300201,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2006,Ecklonia radiata,10.4,NA,6/12/2006,0.52
812300202,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2006,Ecklonia radiata,0,NA,6/12/2006,0
812300203,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2006,Ecklonia radiata,0,NA,6/12/2006,0.1
812300204,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2006,Ecklonia radiata,0,NA,6/12/2006,0.3
812318911,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2007,Ecklonia radiata,10.8,NA,4/12/2007,0
812318912,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2007,Ecklonia radiata,0.8,NA,4/12/2007,0
812318913,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2007,Ecklonia radiata,0,NA,4/12/2007,0.02
812318914,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2007,Ecklonia radiata,1.6,NA,4/12/2007,0.2
2002457,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2011,NA,0,Ecklonia radiata,16/01/2011,0.08
2002458,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2011,NA,0,Ecklonia radiata,16/01/2011,0.28
812331181,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2017,Ecklonia radiata,2,NA,24/11/2017,1.32
812331182,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2017,Ecklonia radiata,22.8,NA,24/11/2017,1.48
812331183,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2017,Ecklonia radiata,6.4,NA,24/11/2017,0.04
812331184,Batemans,BMP-S20,Acron Ledge,-35.7203,150.24789,2017,Ecklonia radiata,29.6,NA,24/11/2017,0.02
2001201,Batemans,BMP18,Barlings Beach N,-35.78062,150.23433,2008,NA,0,Ecklonia radiata,21/02/2008,1.57
2002805,Batemans,BMP25,Barren Bommie,-36.13559,150.12916,2011,NA,0,Ecklonia radiata,21/05/2011,0.8
912343042,Batemans,BMP25,Barren Bommie,-36.13559,150.12916,2013,NA,22,Ecklonia radiata,20/03/2013,1.65
912344997,Batemans,BMP25,Barren Bommie,-36.13559,150.12916,2015,NA,14,Ecklonia radiata,31/03/2015,4.82
